Zeit;Kanal A
(ms);(mV)

-23.96333241;-2.63348900
-23.95833241;-3.00935000
-23.95333241;-3.00935000
-23.94833241;-2.63348900
-23.94333241;-3.38582700
-23.93833241;-2.63348900
-23.93333241;-3.00935000
-23.92833241;-2.06877400
-23.92333241;-2.82111200
-23.91833241;-2.44525100
-23.91333241;-2.63348900
-23.90833241;-3.00935000
-23.90333241;-2.63348900
-23.89833241;-2.63348900
-23.89333241;-2.82111200
-23.88833241;-3.00935000
-23.88333241;-3.00935000
-23.87833241;-3.19758800
-23.87333241;-3.00935000
-23.86833241;-3.57345000
-23.86333241;-2.25701300
-23.85833241;-2.82111200
-23.85333241;-3.00935000
-23.84833241;-2.25701300
-23.84333241;-2.25701300
-23.83833241;-2.25701300
-23.83333241;-2.06877400
-23.82833241;-2.82111200
-23.82333241;-2.63348900
-23.81833242;-2.06877400
-23.81333242;-3.00935000
-23.80833242;-2.06877400
-23.80333242;-2.44525100
-23.79833242;-2.63348900
-23.79333242;-3.19758800
-23.78833242;-1.88053600
-23.78333242;-3.00935000
-23.77833242;-3.38582700
-23.77333242;-3.19758800
-23.76833242;-3.38582700
-23.76333242;-2.82111200
-23.75833242;-3.00935000
-23.75333242;-2.82111200
-23.74833242;-3.57345000
-23.74333242;-2.63348900
-23.73833242;-2.25701300
-23.73333242;-3.19758800
-23.72833242;-3.19758800
-23.72333242;-3.00935000
-23.71833242;-2.82111200
-23.71333242;-2.63348900
-23.70833242;-2.82111200
-23.70333242;-2.63348900
-23.69833242;-3.00935000
-23.69333242;-3.00935000
-23.68833242;-2.63348900
-23.68333242;-2.63348900
-23.67833242;-2.63348900
-23.67333242;-2.63348900
-23.66833242;-2.82111200
-23.66333242;-3.00935000
-23.65833242;-2.44525100
-23.65333242;-3.00935000
-23.64833242;-2.63348900
-23.64333242;-2.63348900
-23.63833242;-2.44525100
-23.63333242;-2.44525100
-23.62833242;-3.00935000
-23.62333242;-3.19758800
-23.61833242;-3.19758800
-23.61333242;-3.00935000
-23.60833242;-3.00935000
-23.60333242;-2.25701300
-23.59833242;-2.63348900
-23.59333242;-3.00935000
-23.58833242;-3.19758800
-23.58333242;-3.76168800
-23.57833242;-2.82111200
-23.57333242;-2.63348900
-23.56833242;-3.19758800
-23.56333242;-3.57345000
-23.55833242;-3.57345000
-23.55333242;-2.82111200
-23.54833242;-3.00935000
-23.54333242;-3.00935000
-23.53833242;-2.63348900
-23.53333242;-2.44525100
-23.52833242;-1.69291300
-23.52333242;-3.19758800
-23.51833242;-3.38582700
-23.51333242;-3.00935000
-23.50833242;-3.00935000
-23.50333242;-3.00935000
-23.49833242;-2.63348900
-23.49333242;-3.38582700
-23.48833242;-3.19758800
-23.48333242;-3.00935000
-23.47833242;-3.38582700
-23.47333242;-3.19758800
-23.46833242;-3.57345000
-23.46333242;-3.00935000
-23.45833242;-3.76168800
-23.45333242;-3.38582700
-23.44833242;-3.19758800
-23.44333242;-3.19758800
-23.43833242;-3.38582700
-23.43333242;-3.00935000
-23.42833242;-3.19758800
-23.42333243;-3.00935000
-23.41833243;-3.57345000
-23.41333243;-1.69291300
-23.40833243;-3.57345000
-23.40333243;-3.00935000
-23.39833243;-3.76168800
-23.39333243;-3.19758800
-23.38833243;-2.82111200
-23.38333243;-3.76168800
-23.37833243;-3.94992600
-23.37333243;-3.94992600
-23.36833243;-4.13816400
-23.36333243;-3.94992600
-23.35833243;-3.57345000
-23.35333243;-3.19758800
-23.34833243;-3.00935000
-23.34333243;-3.19758800
-23.33833243;-3.19758800
-23.33333243;-3.19758800
-23.32833243;-3.19758800
-23.32333243;-3.00935000
-23.31833243;-2.63348900
-23.31333243;-3.19758800
-23.30833243;-3.00935000
-23.30333243;-3.00935000
-23.29833243;-3.19758800
-23.29333243;-2.63348900
-23.28833243;-3.00935000
-23.28333243;-3.00935000
-23.27833243;-3.00935000
-23.27333243;-3.38582700
-23.26833243;-3.19758800
-23.26333243;-3.38582700
-23.25833243;-2.25701300
-23.25333243;-3.00935000
-23.24833243;-2.82111200
-23.24333243;-2.63348900
-23.23833243;-3.00935000
-23.23333243;-3.00935000
-23.22833243;-2.25701300
-23.22333243;-2.63348900
-23.21833243;-2.63348900
-23.21333243;-3.19758800
-23.20833243;-2.25701300
-23.20333243;-3.38582700
-23.19833243;-4.32640200
-23.19333243;-2.63348900
-23.18833243;-1.12819900
-23.18333243;-2.06877400
-23.17833243;-2.63348900
-23.17333243;-2.44525100
-23.16833243;-2.63348900
-23.16333243;-2.82111200
-23.15833243;-3.19758800
-23.15333243;-3.00935000
-23.14833243;-2.44525100
-23.14333243;-2.63348900
-23.13833243;-3.19758800
-23.13333243;-2.63348900
-23.12833243;-2.25701300
-23.12333243;-2.63348900
-23.11833243;-2.63348900
-23.11333243;-2.63348900
-23.10833243;-2.63348900
-23.10333243;-2.63348900
-23.09833243;-0.18762300
-23.09333243;-2.25701300
-23.08833243;-2.25701300
-23.08333243;-2.25701300
-23.07833243;-2.25701300
-23.07333243;-2.25701300
-23.06833243;-2.25701300
-23.06333243;-1.88053600
-23.05833243;-2.25701300
-23.05333243;-1.50467500
-23.04833243;-1.12819900
-23.04333243;-1.69291300
-23.03833243;-2.06877400
-23.03333243;-1.88053600
-23.02833244;-2.06877400
-23.02333244;-1.69291300
-23.01833244;-2.06877400
-23.01333244;-2.44525100
-23.00833244;-1.69291300
-23.00333244;-1.12819900
-22.99833244;-1.31643700
-22.99333244;-1.31643700
-22.98833244;-1.50467500
-22.98333244;-2.06877400
-22.97833244;-1.50467500
-22.97333244;-2.25701300
-22.96833244;-1.31643700
-22.96333244;-1.12819900
-22.95833244;-1.50467500
-22.95333244;-1.31643700
-22.94833244;-1.12819900
-22.94333244;-0.56409940
-22.93833244;-0.93996060
-22.93333244;-0.75233760
-22.92833244;-0.37586120
-22.92333244;-0.93996060
-22.91833244;-1.12819900
-22.91333244;-0.37586120
-22.90833244;-1.12819900
-22.90333244;-0.56409940
-22.89833244;-0.56409940
-22.89333244;-0.37586120
-22.88833244;-0.56409940
-22.88333244;-0.75233760
-22.87833244;0.00000000
-22.87333244;-0.18762300
-22.86833244;-0.18762300
-22.86333244;0.18762300
-22.85833244;0.56409940
-22.85333244;0.37586120
-22.84833244;0.18762300
-22.84333244;0.18762300
-22.83833244;0.56409940
-22.83333244;0.18762300
-22.82833244;0.56409940
-22.82333244;0.75233760
-22.81833244;0.93996060
-22.81333244;0.93996060
-22.80833244;1.50467500
-22.80333244;-0.18762300
-22.79833244;2.44525100
-22.79333244;1.88053600
-22.78833244;2.06877400
-22.78333244;3.00935000
-22.77833244;2.63348900
-22.77333244;3.00935000
-22.76833244;3.00935000
-22.76333244;3.38582700
-22.75833244;3.38582700
-22.75333244;4.89050100
-22.74833244;4.32640200
-22.74333244;4.89050100
-22.73833244;5.45460100
-22.73333244;5.64283900
-22.72833244;5.83107800
-22.72333244;5.26697800
-22.71833244;5.26697800
-22.71333244;5.26697800
-22.70833244;5.07874000
-22.70333244;5.26697800
-22.69833244;4.70226400
-22.69333244;3.94992600
-22.68833244;2.82111200
-22.68333244;3.00935000
-22.67833244;1.88053600
-22.67333244;2.82111200
-22.66833244;1.50467500
-22.66333244;1.31643700
-22.65833244;0.93996060
-22.65333244;0.93996060
-22.64833244;0.93996060
-22.64333244;0.75233760
-22.63833244;0.93996060
-22.63333245;1.12819900
-22.62833245;1.50467500
-22.62333245;1.50467500
-22.61833245;1.88053600
-22.61333245;3.00935000
-22.60833245;2.44525100
-22.60333245;1.50467500
-22.59833245;2.25701300
-22.59333245;2.63348900
-22.58833245;3.38582700
-22.58333245;2.25701300
-22.57833245;2.63348900
-22.57333245;0.93996060
-22.56833245;1.88053600
-22.56333245;2.06877400
-22.55833245;1.88053600
-22.55333245;1.88053600
-22.54833245;2.44525100
-22.54333245;2.82111200
-22.53833245;2.82111200
-22.53333245;3.00935000
-22.52833245;3.94992600
-22.52333245;4.32640200
-22.51833245;4.32640200
-22.51333245;5.07874000
-22.50833245;4.89050100
-22.50333245;4.89050100
-22.49833245;5.26697800
-22.49333245;5.26697800
-22.48833245;4.89050100
-22.48333245;4.70226400
-22.47833245;4.32640200
-22.47333245;3.94992600
-22.46833245;3.57345000
-22.46333245;3.19758800
-22.45833245;2.82111200
-22.45333245;2.82111200
-22.44833245;2.44525100
-22.44333245;2.06877400
-22.43833245;1.88053600
-22.43333245;1.31643700
-22.42833245;2.06877400
-22.42333245;2.25701300
-22.41833245;2.82111200
-22.41333245;1.50467500
-22.40833245;2.44525100
-22.40333245;1.69291300
-22.39833245;2.44525100
-22.39333245;2.63348900
-22.38833245;1.31643700
-22.38333245;1.88053600
-22.37833245;0.93996060
-22.37333245;1.88053600
-22.36833245;0.37586120
-22.36333245;0.00000000
-22.35833245;0.00000000
-22.35333245;-0.37586120
-22.34833245;0.00000000
-22.34333245;-0.37586120
-22.33833245;-0.75233760
-22.33333245;0.00000000
-22.32833245;-0.37586120
-22.32333245;0.00000000
-22.31833245;0.00000000
-22.31333245;0.18762300
-22.30833245;0.18762300
-22.30333245;0.56409940
-22.29833245;0.75233760
-22.29333245;0.56409940
-22.28833245;1.50467500
-22.28333245;1.88053600
-22.27833245;0.93996060
-22.27333245;1.88053600
-22.26833245;1.88053600
-22.26333245;2.06877400
-22.25833245;1.12819900
-22.25333245;2.44525100
-22.24833245;1.12819900
-22.24333245;1.12819900
-22.23833246;1.12819900
-22.23333246;0.56409940
-22.22833246;0.37586120
-22.22333246;0.93996060
-22.21833246;0.93996060
-22.21333246;0.93996060
-22.20833246;0.18762300
-22.20333246;-0.37586120
-22.19833246;1.31643700
-22.19333246;0.37586120
-22.18833246;1.88053600
-22.18333246;0.56409940
-22.17833246;0.56409940
-22.17333246;1.50467500
-22.16833246;0.56409940
-22.16333246;0.18762300
-22.15833246;0.18762300
-22.15333246;0.37586120
-22.14833246;1.12819900
-22.14333246;0.37586120
-22.13833246;0.93996060
-22.13333246;-0.37586120
-22.12833246;0.56409940
-22.12333246;0.56409940
-22.11833246;0.93996060
-22.11333246;0.75233760
-22.10833246;0.37586120
-22.10333246;0.56409940
-22.09833246;0.56409940
-22.09333246;0.93996060
-22.08833246;0.75233760
-22.08333246;0.75233760
-22.07833246;0.93996060
-22.07333246;0.18762300
-22.06833246;0.93996060
-22.06333246;0.93996060
-22.05833246;0.37586120
-22.05333246;0.93996060
-22.04833246;0.75233760
-22.04333246;0.93996060
-22.03833246;0.56409940
-22.03333246;0.37586120
-22.02833246;0.56409940
-22.02333246;0.75233760
-22.01833246;0.56409940
-22.01333246;0.75233760
-22.00833246;1.31643700
-22.00333246;0.37586120
-21.99833246;1.50467500
-21.99333246;0.93996060
-21.98833246;0.93996060
-21.98333246;0.75233760
-21.97833246;0.75233760
-21.97333246;1.50467500
