frequenz hz;fasen verschiebung; peak (mV)
100; 	6 ms;		14.71 
200; 	1.96 ms;	20
300;	1 ms;		22.49 
400;	570 micro;	36.77 
500;	91 micro;	64.89 
700;	1.16 ms;	32.01 
850;	945 micro;	27.69 
1000;	791 micro;	22.93 
1200;	625 micro;	20.33 
1500;	482 micro;	22.93 
1700;	404 micro;	22.06 
2000;	329 micro;	23.36 
3000;	171 micro;	23.36 
4000;	103 micro;	17.73 
5000;	35 micro;	28.55 
6000;	173 micro;	13.84 
10000;	43 micro;	18.17 
