Zeit;Kanal A
(ms);(V)

-4,97469108;1,02731300
-4,97458708;1,02731300
-4,97448308;1,02731300
-4,97437908;0,98071480
-4,97427508;1,02731300
-4,97417108;0,98071480
-4,97406708;1,02731300
-4,97396308;0,98071480
-4,97385908;1,02731300
-4,97375508;1,02731300
-4,97365108;1,02731300
-4,97354708;1,02731300
-4,97344308;1,02731300
-4,97333908;1,02731300
-4,97323508;1,02731300
-4,97313108;1,02731300
-4,97302708;1,02731300
-4,97292308;1,02731300
-4,97281908;1,02731300
-4,97271508;1,02731300
-4,97261108;0,98071480
-4,97250708;0,98071480
-4,97240308;1,02731300
-4,97229908;0,98071480
-4,97219508;1,02731300
-4,97209108;1,02731300
-4,97198708;0,98071480
-4,97188308;0,98071480
-4,97177908;0,98071480
-4,97167508;0,98071480
-4,97157108;1,02731300
-4,97146708;1,02731300
-4,97136308;1,02731300
-4,97125908;0,98071480
-4,97115508;1,02731300
-4,97105108;1,02731300
-4,97094708;1,02731300
-4,97084308;1,02731300
-4,97073908;1,02731300
-4,97063508;0,98071480
-4,97053108;1,02731300
-4,97042708;1,02731300
-4,97032308;1,02731300
-4,97021908;0,98071480
-4,97011508;1,02731300
-4,97001108;0,98071480
-4,96990708;1,02731300
-4,96980308;0,98071480
-4,96969908;0,98071480
-4,96959508;0,98071480
-4,96949108;1,02731300
-4,96938708;0,98071480
-4,96928308;1,02731300
-4,96917908;1,02731300
-4,96907508;1,02731300
-4,96897108;1,02731300
-4,96886708;1,02731300
-4,96876308;0,98071480
-4,96865908;1,02731300
-4,96855508;0,98071480
-4,96845108;1,02731300
-4,96834708;0,98071480
-4,96824308;1,02731300
-4,96813908;0,98071480
-4,96803508;0,98071480
-4,96793108;1,02731300
-4,96782708;1,02731300
-4,96772308;0,98071480
-4,96761908;0,98071480
-4,96751508;1,02731300
-4,96741108;1,02731300
-4,96730708;0,98071480
-4,96720308;0,98071480
-4,96709908;0,98071480
-4,96699508;0,98071480
-4,96689108;1,02731300
-4,96678708;1,02731300
-4,96668308;1,02731300
-4,96657908;1,07406500
-4,96647508;0,98071480
-4,96637108;1,02731300
-4,96626708;1,02731300
-4,96616308;1,02731300
-4,96605908;1,02731300
-4,96595508;1,02731300
-4,96585108;0,98071480
-4,96574708;1,02731300
-4,96564308;1,02731300
-4,96553908;1,02731300
-4,96543508;1,02731300
-4,96533108;0,98071480
-4,96522708;0,98071480
-4,96512308;0,98071480
-4,96501908;1,02731300
-4,96491508;1,02731300
-4,96481108;1,02731300
-4,96470708;1,02731300
-4,96460308;0,98071480
-4,96449908;1,02731300
-4,96439508;1,02731300
-4,96429108;1,02731300
-4,96418708;0,98071480
-4,96408308;1,02731300
-4,96397908;0,98071480
-4,96387508;1,02731300
-4,96377108;0,98071480
-4,96366708;1,02731300
-4,96356308;0,98071480
-4,96345908;1,02731300
-4,96335508;0,98071480
-4,96325108;1,02731300
-4,96314708;0,98071480
-4,96304308;1,02731300
-4,96293908;0,98071480
-4,96283508;1,02731300
-4,96273108;0,98071480
-4,96262708;0,98071480
-4,96252308;0,98071480
-4,96241908;1,02731300
-4,96231508;0,93396280
-4,96221108;1,02731300
-4,96210708;1,02731300
-4,96200308;1,02731300
-4,96189908;0,98071480
-4,96179508;1,02731300
-4,96169108;1,02731300
-4,96158708;1,02731300
-4,96148308;0,98071480
-4,96137908;1,02731300
-4,96127508;0,98071480
-4,96117108;1,02731300
-4,96106708;0,98071480
-4,96096308;1,02731300
-4,96085908;1,02731300
-4,96075508;0,98071480
-4,96065108;0,98071480
-4,96054708;1,02731300
-4,96044308;1,02731300
-4,96033908;1,02731300
-4,96023508;1,02731300
-4,96013108;1,02731300
-4,96002708;0,98071480
-4,95992308;1,07406500
-4,95981908;1,02731300
-4,95971508;1,07406500
-4,95961108;1,02731300
-4,95950708;1,02731300
-4,95940308;1,02731300
-4,95929908;1,02731300
